OTUID	M	B	X	H	T	Y	J	D
OTU662	0	0	0	1	0	0	3	0
OTU663	64	58	85	64	104	72	79	80
OTU664	27	14	18	38	41	28	33	29
OTU665	26	20	32	43	31	15	28	27
OTU666	1	7	1	2	2	7	5	5
OTU667	1	0	2	0	0	3	0	0
OTU668	0	2	1	4	1	1	1	2
OTU669	0	1	0	1	0	0	0	0
OTU670	10	15	7	11	6	19	7	5
OTU671	10	4	5	13	5	9	5	11
OTU672	3	1	4	4	1	2	2	2
OTU673	2	0	0	4	0	3	0	1
OTU674	8	2	3	26	9	7	7	7
OTU675	0	0	0	1	0	1	0	0
OTU676	40	31	29	24	44	24	19	39
OTU677	19	14	34	15	16	21	16	28
OTU678	4	14	1	4	1	3	4	1
OTU679	2	0	0	0	1	0	0	0
OTU680	3	0	3	1	0	3	1	1
OTU681	1	4	2	1	0	1	1	1
OTU682	0	1	2	1	6	3	4	4
OTU683	3	8	11	15	4	5	3	8
OTU684	2	5	5	5	7	0	5	9
OTU685	4	1	0	5	4	5	2	0
OTU686	3	3	6	6	8	7	5	2
OTU687	2	0	1	0	0	0	0	0
OTU688	15	14	10	20	20	10	16	3
OTU689	3	13	0	13	4	8	1	4
OTU690	3	1	0	0	1	3	0	2
OTU691	0	2	2	0	0	0	0	1
OTU692	0	0	0	0	1	0	0	0
OTU693	75	105	84	78	100	111	84	78
OTU694	5	7	7	4	2	7	5	7
OTU695	1	2	2	2	2	1	2	1
OTU696	12	17	15	14	13	18	2	6
OTU697	2	2	1	2	2	2	3	1
OTU698	1	1	1	0	0	1	0	0
OTU699	5	7	3	2	6	3	4	5
OTU700	4	3	2	1	0	5	0	1
OTU701	0	0	0	1	0	1	1	1
OTU702	30	21	28	44	34	42	24	32
OTU703	1	6	1	13	1	2	2	2
OTU704	1	7	7	8	4	13	11	6
OTU705	8	7	5	11	5	7	6	10
OTU706	0	0	0	2	0	0	1	0
OTU707	3	0	1	1	1	0	0	1
OTU708	3	2	2	0	0	4	2	1
OTU709	6	4	6	8	5	6	8	7
OTU710	36	27	37	40	46	31	42	37
OTU711	0	1	0	3	1	1	1	0
OTU712	5	7	13	5	10	5	8	5
OTU713	50	43	44	44	50	49	53	44
OTU714	36	52	40	48	50	74	26	24
OTU715	0	3	1	1	0	3	1	3
OTU716	0	0	0	0	0	2	0	0
OTU717	11	2	8	7	8	13	12	9
OTU718	16	21	16	27	22	25	15	21
OTU719	2	1	2	8	5	5	0	1
OTU720	1	1	12	1	1	0	1	1
OTU721	0	0	0	0	0	1	0	0
OTU722	1	0	0	0	1	2	0	0
OTU723	0	0	0	0	0	0	0	0
OTU724	92	85	65	126	137	112	90	99
OTU725	49	36	54	48	51	39	26	36
OTU726	2	1	1	17	1	0	0	2
OTU727	2	3	3	13	1	4	2	7
OTU728	29	29	21	21	36	22	29	42
OTU729	1	2	2	4	1	1	0	3
OTU730	0	0	0	0	0	1	0	0
OTU731	5	2	0	2	1	2	7	6
OTU732	7	5	8	6	10	8	1	7
OTU733	3	2	7	2	3	0	1	3
OTU734	6	2	1	2	6	3	5	9
OTU735	77	53	97	69	87	100	61	31
OTU736	1	4	0	0	1	1	2	1
OTU737	2	3	5	2	4	2	5	3
OTU738	0	0	0	0	0	2	1	1
OTU739	113	72	98	90	88	91	78	56
OTU740	63	63	48	59	55	61	52	70
OTU741	1	0	1	0	1	0	1	1
OTU742	4	0	4	4	3	1	4	4
OTU743	2	0	1	1	4	2	1	4
OTU744	0	0	1	1	0	1	0	1
OTU745	14	16	25	13	6	15	7	12
OTU746	0	0	1	0	0	0	0	0
OTU747	1	0	0	1	0	0	2	0
OTU748	1	0	2	5	0	0	0	1
OTU749	4	2	1	2	6	3	3	3
OTU750	2	1	0	0	0	1	3	0
OTU751	4	5	5	10	3	22	11	6
OTU752	15	24	11	16	10	15	15	12
OTU753	17	9	9	17	10	21	8	4
OTU754	5	4	5	3	10	3	4	6
OTU755	263	189	248	250	266	282	193	224
OTU756	52	32	22	34	60	24	42	34
OTU757	64	82	84	56	73	51	66	90
OTU758	0	0	0	0	0	0	0	1
OTU759	7	8	8	5	8	15	9	5
OTU760	21	14	17	18	18	45	33	25
OTU761	144	113	161	174	190	163	178	170
OTU762	32	42	33	21	36	36	30	33
OTU763	0	2	3	0	0	1	0	1
OTU764	0	0	0	1	0	0	1	1
OTU765	3	4	11	3	11	10	6	9
OTU766	12	15	13	10	15	7	17	16
OTU767	48	43	42	39	47	56	38	34
OTU768	7	16	4	10	6	4	7	8
OTU769	6	5	5	4	7	6	6	5
OTU770	34	25	33	34	12	117	80	13
OTU771	62	164	36	165	76	385	164	68
OTU772	11	14	19	13	14	10	17	13
OTU773	17	50	27	86	19	74	28	24
OTU774	12	9	11	13	12	17	13	14
OTU775	57	34	52	24	39	39	33	41
OTU776	5	3	5	5	4	3	5	3
OTU777	6	5	8	10	10	7	15	15
OTU778	17	19	12	13	9	18	17	11
OTU779	13	6	12	13	18	5	15	9
OTU780	51	37	33	59	57	67	39	74
OTU781	10	11	6	15	9	13	3	11
OTU782	1	4	2	0	4	2	2	0
OTU783	110	125	125	120	137	130	130	128
OTU784	83	57	55	89	69	85	74	71
OTU785	0	0	0	1	0	1	2	3
OTU786	7	5	3	2	1	7	1	4
OTU787	61	48	41	108	55	57	23	48
OTU788	201	186	180	217	302	253	228	242
OTU789	12	70	61	40	84	33	11	54
OTU790	69	61	35	63	41	75	56	52
OTU791	9	22	10	13	4	17	8	10
OTU792	210	187	132	157	220	181	185	191
OTU793	14	11	6	8	9	10	13	7
OTU794	5	3	1	4	2	1	1	1
OTU795	0	0	0	2	0	0	0	0
OTU796	50	24	40	51	27	25	28	43
OTU797	3	11	7	14	12	38	12	15
OTU798	4	2	5	3	2	3	0	4
OTU799	3	5	9	1	3	1	4	1
OTU800	1	0	1	1	0	3	0	0
OTU801	0	0	0	0	0	0	0	0
OTU802	55	41	39	68	55	41	41	47
OTU803	2	0	1	1	1	4	2	1
OTU804	51	48	29	32	41	40	43	30
OTU805	4	4	5	6	10	4	4	14
OTU806	14	16	19	10	18	12	11	14
OTU807	4	0	1	1	3	0	2	1
OTU808	6	5	6	1	6	6	3	4
OTU809	2	2	5	11	5	5	1	1
OTU810	1	1	6	1	2	1	1	1
OTU811	0	0	1	0	1	0	0	0
OTU812	1	0	1	1	1	0	1	0
OTU813	2	2	0	0	0	1	1	1
OTU814	2	1	2	1	4	4	5	2
OTU815	26	45	13	26	23	34	38	23
OTU816	21	23	27	33	33	28	28	32
OTU817	5	5	6	5	6	5	3	3
OTU818	0	0	1	0	0	0	0	0
OTU819	152	92	58	84	104	144	94	86
OTU820	2	0	1	0	2	3	5	5
OTU821	10	5	15	18	3	10	4	4
OTU822	6	4	2	0	1	2	4	2
OTU823	59	66	44	68	58	62	45	56
OTU824	2	1	0	3	1	2	1	0
OTU825	1	3	2	1	1	0	5	3
OTU826	1	1	2	3	3	3	7	5
OTU827	5	2	4	10	4	11	1	5
OTU828	0	0	0	0	0	1	0	0
OTU829	160	151	115	160	132	206	141	127
OTU830	21	12	9	19	26	22	16	24
OTU831	84	120	84	110	92	115	72	112
OTU832	31	38	26	53	10	202	98	14
OTU833	0	2	0	0	1	2	2	0
OTU834	1	2	2	0	0	4	7	4
OTU835	0	0	0	2	0	0	0	0
OTU836	7	11	8	20	7	7	19	17
OTU837	63	55	41	47	53	105	84	49
OTU838	20	18	20	11	14	11	10	13
OTU839	6	11	14	13	8	7	5	10
OTU840	28	17	43	33	21	34	35	38
OTU841	4	16	15	17	10	21	6	19
OTU842	0	0	1	0	1	0	1	0
OTU843	1	1	0	2	1	5	1	2
OTU844	0	2	0	19	1	1	1	1
OTU845	6	2	4	3	5	2	1	3
OTU846	1	1	0	0	2	0	0	0
OTU847	13	11	5	12	10	16	6	10
OTU848	1	0	1	9	1	4	3	3
OTU849	5	3	5	2	8	11	8	5
OTU850	1	1	1	0	0	0	0	0
OTU851	0	0	1	0	0	0	0	0
OTU852	3	1	2	4	5	7	2	4
OTU853	2	7	8	3	6	4	3	3
OTU854	5	6	5	14	9	15	17	14
OTU855	3	3	1	2	0	1	1	1
OTU856	13	10	6	18	5	18	5	5
OTU857	61	43	57	49	61	44	36	40
OTU858	1	0	0	1	0	2	0	1
OTU859	0	3	1	1	3	5	3	5
OTU860	2	1	0	0	0	0	0	0
OTU861	1	0	0	3	0	0	0	0
OTU862	4	8	7	4	10	8	2	7
OTU863	1	0	0	0	0	1	0	0
OTU864	11	6	8	8	9	7	4	13
OTU865	1	0	1	1	1	0	0	3
OTU866	0	0	0	0	0	0	0	0
OTU867	13	4	10	18	7	8	1	5
OTU868	9	11	14	11	15	14	10	8
OTU869	8	4	2	4	4	2	7	6
OTU870	140	64	138	103	61	142	67	113
OTU871	127	170	145	222	187	165	150	185
OTU872	0	1	0	0	0	1	1	0
OTU873	4	17	4	8	1	20	6	10
OTU874	6	12	1	16	2	6	2	8
OTU875	2	3	6	2	1	9	0	0
OTU876	69	92	90	132	71	85	62	112
OTU877	18	22	7	12	9	8	10	7
OTU878	34	21	31	36	38	27	31	36
OTU879	2	5	5	4	7	5	7	7
OTU880	1	0	0	0	0	1	0	0
OTU881	103	88	130	132	157	108	136	97
OTU882	1	1	11	0	3	3	0	2
OTU883	32	29	35	35	22	39	26	39
OTU884	9	8	19	15	11	12	3	9
OTU885	83	120	73	133	87	71	93	99
OTU886	0	1	3	1	0	3	3	0
OTU887	17	20	11	19	13	16	7	10
OTU888	17	23	12	67	34	51	14	9
OTU889	3	2	3	4	1	3	2	3
OTU890	54	100	68	146	89	100	65	108
OTU891	0	0	0	0	0	0	0	0
OTU892	19	20	13	26	8	28	7	21
OTU893	14	2	7	5	9	27	1	4
OTU894	42	28	43	41	20	38	37	18
OTU895	112	117	97	130	139	108	112	141
OTU896	8	9	8	9	8	13	8	15
OTU897	8	7	8	3	5	7	7	2
OTU898	25	40	34	28	44	44	25	49
OTU899	0	2	0	1	0	2	1	3
OTU900	0	1	3	1	3	1	2	2
OTU901	5	0	2	7	0	0	3	2
OTU902	0	0	3	1	0	0	0	0
OTU903	5	2	0	1	0	11	1	4
OTU904	7	11	19	8	7	6	6	8
OTU905	7	4	1	13	1	5	1	3
OTU906	55	59	27	41	46	51	53	71
OTU907	0	0	0	0	0	0	0	0
OTU908	13	5	10	11	15	10	11	15
OTU909	0	0	1	4	0	3	3	2
OTU910	145	134	88	143	157	161	120	188
OTU911	0	2	1	1	2	1	4	2
OTU912	63	76	45	69	57	66	52	68
OTU913	1	0	0	1	0	0	0	0
OTU914	0	1	0	3	0	1	0	0
OTU915	17	21	11	19	29	24	27	27
OTU916	65	57	36	82	68	62	55	55
OTU917	205	198	264	184	237	171	115	153
OTU918	1	1	0	4	2	3	4	5
OTU919	2	1	3	18	3	4	2	9
OTU920	0	0	0	0	0	5	1	0
OTU921	1	4	1	5	4	0	0	1
OTU922	7	13	2	9	8	10	13	6
OTU923	39	26	32	31	37	23	38	27
OTU924	2	4	0	13	2	11	7	6
OTU925	0	0	0	1	0	0	0	0
OTU926	0	0	0	0	0	5	0	0
OTU927	3	3	6	9	4	2	2	3
OTU928	0	0	0	0	0	1	0	0
OTU929	4	3	0	1	3	4	4	2
OTU930	2	6	2	2	5	2	1	0
OTU931	2	2	2	7	3	1	1	2
OTU932	0	2	0	0	3	0	2	2
OTU933	4	4	3	5	4	10	2	2
OTU934	4	8	5	6	11	8	5	12
OTU935	0	0	1	0	0	0	0	0
OTU936	1	3	2	2	7	1	1	2
OTU937	0	0	1	0	0	0	0	0
OTU938	0	0	0	0	1	0	0	0
OTU939	0	0	0	1	0	1	0	1
OTU940	2	4	3	3	4	2	3	1
OTU941	2	1	0	1	0	3	1	1
OTU942	0	1	1	0	0	1	0	0
OTU943	0	1	0	1	4	2	0	3
OTU944	7	6	4	4	8	6	2	5
OTU945	27	23	24	22	19	27	20	19
OTU946	12	12	12	16	16	18	14	13
OTU947	6	1	0	3	2	1	1	2
OTU948	1	0	0	0	0	0	0	0
OTU949	6	6	4	10	5	7	5	16
OTU950	1	1	0	0	2	0	0	1
OTU951	24	19	28	25	28	28	19	22
OTU952	95	68	129	92	108	127	70	79
OTU953	0	0	0	0	0	0	0	0
OTU954	15	14	15	14	21	25	11	12
OTU955	8	14	5	10	9	12	4	6
OTU956	0	0	0	0	0	0	0	0
OTU957	0	5	3	3	2	9	1	13
OTU958	0	0	0	0	2	1	0	0
OTU959	18	17	21	20	17	18	18	20
OTU960	5	11	7	2	6	2	4	8
OTU961	1	5	0	3	2	3	0	2
OTU962	0	1	0	3	0	0	0	1
OTU963	0	0	0	2	0	1	1	0
OTU964	6	4	2	3	1	2	5	1
OTU965	3	6	3	1	2	0	1	1
OTU966	0	0	0	1	0	0	0	0
OTU967	0	0	0	1	0	0	0	0
OTU968	1	0	0	5	0	0	0	0
OTU969	4	2	1	1	0	0	1	0
OTU970	0	0	1	1	0	0	0	0
OTU971	9	7	7	6	6	8	9	8
OTU972	0	2	2	3	2	2	2	0
OTU973	1	0	5	3	2	1	1	0
OTU974	3	1	1	0	0	6	7	1
OTU975	5	8	6	5	5	3	2	3
OTU976	11	10	10	18	12	14	7	28
OTU977	0	1	1	2	0	4	1	1
OTU978	1	2	1	1	0	3	0	0
OTU979	0	0	0	0	0	1	0	1
OTU980	0	0	0	0	0	0	1	0
OTU981	6	7	2	4	2	5	2	1
OTU982	0	1	1	1	1	0	3	2
OTU983	0	4	2	7	12	8	2	1
OTU984	0	3	0	3	1	2	2	1
OTU985	0	0	0	0	0	0	0	1
OTU986	0	0	0	0	0	0	0	0
OTU987	4	1	7	2	5	5	7	6
OTU988	0	0	2	1	1	2	2	0
OTU989	0	0	1	0	0	0	0	2
OTU990	2	0	2	7	3	2	1	1
OTU991	6	6	3	10	10	8	2	4
OTU992	27	24	24	30	44	28	32	35
OTU993	1	1	4	2	0	1	2	3
OTU994	2	3	2	5	3	1	1	7
OTU995	1	2	2	2	0	6	4	1
OTU996	2	1	1	2	0	1	0	1
OTU997	5	5	7	6	5	3	2	3
OTU998	25	15	22	14	19	16	10	9
OTU999	159	150	160	161	158	200	128	139
OTU1000	1	0	1	0	0	0	0	0
OTU1001	14	35	24	31	18	34	12	20
OTU1002	44	56	52	42	45	58	52	52
OTU1003	0	0	1	1	0	4	0	1
OTU1004	30	26	12	15	14	19	34	32
OTU1005	0	1	2	5	2	1	2	1
OTU1006	20	4	10	5	12	13	7	4
OTU1007	2	2	4	1	2	1	4	2
OTU1008	6	15	10	21	21	20	13	26
OTU1009	1	0	0	0	3	1	0	0
OTU1010	34	25	21	21	35	24	34	28
OTU1011	5	4	4	2	5	2	1	6
OTU1012	1	1	1	3	0	0	2	1
OTU1013	12	5	10	7	11	5	1	5
OTU1014	28	27	27	19	37	17	25	25
OTU1015	3	3	1	5	2	0	3	5
OTU1016	62	83	70	94	73	67	77	78
OTU1017	0	0	0	2	1	5	2	1
OTU1018	3	5	5	2	3	7	4	6
OTU1019	4	3	1	1	2	3	5	5
OTU1020	0	2	10	0	3	1	5	4
OTU1021	110	121	104	109	130	119	139	101
OTU1022	0	2	1	2	0	1	0	1
OTU1023	3	4	4	3	3	3	2	3
OTU1024	1	0	0	0	0	0	0	3
OTU1025	69	66	68	95	100	89	57	86
OTU1026	0	0	0	2	0	0	0	0
OTU1027	103	95	89	150	103	127	85	107
OTU1028	0	0	0	0	0	0	0	0
OTU1029	21	32	35	54	38	41	19	32
OTU1030	0	3	0	6	0	0	1	0
OTU1031	0	0	0	0	0	0	0	0
OTU1032	93	76	75	108	100	77	86	105
OTU1033	0	1	0	0	1	1	4	6
OTU1034	0	0	0	2	0	0	0	0
OTU1035	6	4	1	0	1	2	1	2
OTU1036	270	239	248	295	317	263	276	301
OTU1037	1	4	1	9	1	2	0	7
OTU1038	394	394	331	458	405	461	316	368
OTU1039	178	138	193	127	140	159	128	149
OTU1040	21	15	13	12	28	21	14	29
OTU1041	0	0	0	1	0	3	1	0
OTU1042	14	11	20	30	27	29	14	18
OTU1043	1	2	3	2	0	1	1	1
OTU1044	7	3	8	6	8	6	2	5
OTU1045	5	7	5	5	4	3	5	9
OTU1046	0	0	0	0	0	0	0	0
OTU1047	74	54	67	61	71	67	73	65
OTU1048	4	7	2	4	1	6	6	8
OTU1049	42	42	38	41	53	39	50	42
OTU1050	37	38	36	59	46	47	38	38
OTU1051	1	2	2	3	1	3	2	0
OTU1052	0	0	0	0	0	1	0	0
OTU1053	17	19	16	20	19	16	24	23
OTU1054	377	328	431	421	402	504	246	290
OTU1055	0	2	3	4	2	0	0	3
OTU1056	0	0	0	0	0	0	0	0
OTU1057	3	1	0	4	1	6	3	0
OTU1058	5	2	1	1	2	4	2	1
OTU1059	2	0	1	3	1	1	2	3
OTU1060	0	0	0	0	0	0	0	0
OTU1061	0	0	0	2	0	3	0	1
OTU1062	1	2	2	3	2	5	6	3
OTU1063	0	0	0	0	0	0	0	0
OTU1064	0	0	0	0	0	0	0	0
OTU1065	3	2	1	2	1	0	0	2
OTU1066	15	7	18	77	18	14	9	13
OTU1067	1	0	2	2	0	0	1	0
OTU1068	6	6	1	4	6	5	4	5
OTU1069	0	0	1	0	0	0	0	0
OTU1070	0	0	0	0	0	0	0	0
OTU1071	0	0	0	0	0	0	0	0
OTU1072	7	3	7	10	5	6	11	5
OTU1073	1	1	0	1	0	0	0	0
OTU1074	0	0	0	0	0	0	0	0
OTU1075	3	2	2	8	2	4	6	4
OTU1076	0	0	0	1	0	0	0	0
OTU1077	13	24	6	24	33	22	14	84
OTU1078	25	15	10	11	15	20	7	17
OTU1079	5	14	17	36	8	14	5	15
OTU1080	0	1	1	1	0	0	0	0
OTU1081	0	0	0	4	1	0	0	0
OTU1082	46	44	55	47	58	32	40	44
OTU1083	3	2	1	1	1	1	0	1
OTU1084	0	0	0	0	0	0	0	0
OTU1085	0	3	0	2	2	3	2	6
OTU1086	4	1	0	5	2	8	5	6
OTU1087	0	0	0	0	0	0	0	0
OTU1088	0	5	18	10	30	7	1	5
OTU1089	2	2	2	5	3	4	4	3
OTU1090	0	0	1	2	0	2	0	0
OTU1091	0	0	0	0	0	0	0	0
OTU1092	5	7	8	2	1	11	9	1
OTU1093	1	1	0	4	0	1	3	0
OTU1094	6	7	11	9	9	18	5	4
OTU1095	0	0	0	0	0	1	0	0
OTU1096	0	0	0	0	0	1	1	0
OTU1097	0	0	0	0	0	0	0	1
OTU1098	2	2	2	6	1	3	5	1
OTU1099	12	4	12	10	8	5	13	9
OTU1100	0	0	0	0	0	0	0	0
OTU1101	1	5	1	9	3	2	3	4
OTU1102	2	2	6	2	2	3	1	0
OTU1103	0	0	0	0	0	0	0	0
OTU1104	1	0	5	2	1	10	2	1
OTU1105	1	1	0	0	0	3	0	0
OTU1106	0	0	0	0	0	0	0	0
OTU1107	0	0	0	0	0	0	0	0
OTU1108	5	3	1	3	5	2	4	2
OTU1109	3	7	3	3	3	5	4	1
OTU1110	0	0	0	0	0	0	0	0
OTU1111	52	48	40	55	47	61	47	76
OTU1112	1	14	0	3	1	0	0	1
OTU1113	0	0	0	0	0	0	0	0
OTU1114	0	0	0	0	0	0	1	1
OTU1115	1	4	3	14	3	5	0	8
OTU1116	1	3	0	4	0	1	0	0
OTU1117	0	0	0	0	0	0	0	0
OTU1118	0	4	4	1	6	3	4	0
OTU1119	10	7	12	9	17	16	7	10
OTU1120	56	31	36	36	43	45	19	32
OTU1121	16	7	11	14	9	13	10	15
OTU1122	47	36	37	55	34	71	22	23
OTU1123	0	0	0	1	0	0	1	0
OTU1124	0	0	0	0	1	1	0	0
OTU1125	73	96	71	68	82	81	96	76
OTU1126	4	6	3	1	2	5	1	2
OTU1127	0	0	0	1	0	1	1	0
OTU1128	2	0	1	11	1	2	5	5
OTU1129	0	0	0	2	0	2	0	0
OTU1130	8	4	5	6	11	3	9	1
OTU1131	2	1	2	2	1	0	2	0
OTU1132	6	4	4	4	3	3	2	12
OTU1133	2	2	2	0	4	3	6	2
OTU1134	0	0	0	0	0	0	0	0
OTU1135	0	0	0	5	0	0	0	0
OTU1136	0	2	1	0	1	0	1	2
OTU1137	0	2	0	1	0	1	0	0
OTU1138	0	2	2	4	2	1	1	2
OTU1139	1	5	1	1	1	1	2	1
OTU1140	2	2	4	2	3	3	2	22
OTU1141	1	3	0	1	2	1	2	0
OTU1142	0	0	0	0	0	1	0	0
OTU1143	5	16	4	13	3	5	12	4
OTU1144	1	1	0	2	0	1	2	2
OTU1145	0	1	0	0	0	1	0	0
OTU1146	12	16	10	16	4	56	11	10
OTU1147	0	2	1	1	0	6	1	2
OTU1148	0	1	0	1	0	2	3	0
OTU1149	5	4	7	24	3	8	7	5
OTU1150	0	0	0	1	0	0	1	0
OTU1151	0	0	0	0	0	0	0	0
OTU1152	0	0	1	1	0	0	1	0
OTU1153	0	0	0	0	0	0	0	0
OTU1154	4	0	0	3	2	5	0	2
OTU1155	3	1	1	0	0	6	3	1
OTU1156	0	0	0	0	0	1	0	0
OTU1157	0	0	0	0	0	0	0	0
OTU1158	0	0	0	0	0	0	0	0
OTU1159	0	2	0	1	0	0	0	0
OTU1160	0	1	0	0	2	1	0	0
OTU1161	0	0	1	1	2	0	0	0
OTU1162	0	0	0	0	1	2	2	0
OTU1163	0	0	0	0	1	4	3	2
OTU1164	0	0	0	0	0	0	0	0
OTU1165	0	0	0	6	0	3	1	0
OTU1166	2	3	0	6	4	8	8	3
OTU1167	1	1	2	1	1	2	4	1
OTU1168	3	2	0	0	1	4	1	0
OTU1169	3	3	0	4	0	1	2	2
OTU1170	2	5	1	4	0	4	1	1
OTU1171	6	3	11	5	7	3	4	2
OTU1172	2	2	1	0	0	1	0	1
OTU1173	1	0	1	0	1	1	0	1
OTU1174	0	0	0	1	0	0	0	0
OTU1175	307	299	364	275	434	278	298	272
OTU1176	0	0	1	0	10	4	0	0
OTU1177	5	4	3	0	2	6	4	3
OTU1178	1	1	0	3	2	1	0	3
OTU1179	1	8	3	2	2	7	7	1
OTU1180	2	2	0	0	1	2	1	1
OTU1181	0	0	0	0	1	1	0	0
OTU1182	0	0	0	0	1	1	0	0
OTU1183	3	3	1	9	3	4	3	4
OTU1184	0	0	0	0	0	1	0	0
OTU1185	0	1	1	0	1	0	0	0
OTU1186	0	0	0	2	0	1	0	0
OTU1187	2	1	4	2	2	5	3	3
OTU1188	10	18	6	12	14	8	22	31
OTU1189	9	5	8	4	13	6	5	5
OTU1190	1	12	1	5	5	4	4	3
OTU1191	0	0	0	0	1	1	0	2
OTU1192	0	0	0	0	1	0	0	0
OTU1193	4	2	4	2	2	3	3	1
OTU1194	0	1	0	0	0	0	0	0
OTU1195	8	7	1	14	6	6	3	3
OTU1196	0	0	1	0	0	0	0	0
OTU1197	0	0	0	0	0	1	0	0
OTU1198	1	0	0	0	2	3	0	1
OTU1199	0	0	0	1	0	0	0	0
OTU1200	12	18	9	6	10	8	12	19
OTU1201	0	0	2	0	1	1	1	0
OTU1202	8	3	2	6	9	6	5	9
OTU1203	0	2	3	0	2	3	1	0
OTU1204	12	10	13	12	2	14	5	16
OTU1205	2	7	4	7	3	4	2	2
OTU1206	0	2	0	0	0	0	1	0
OTU1207	0	0	0	1	0	1	0	1
OTU1208	40	23	46	29	17	36	23	38
OTU1209	0	1	2	2	2	2	0	4
OTU1210	3	2	0	4	2	5	3	3
OTU1211	0	0	2	4	1	2	1	1
OTU1212	2	0	3	0	1	3	0	0
OTU1213	0	0	0	0	0	0	0	0
OTU1214	46	48	43	53	47	37	23	29
OTU1215	51	67	26	59	56	73	34	53
OTU1216	1	0	0	0	0	4	0	2
OTU1217	2	2	2	0	3	1	0	2
OTU1218	7	4	1	1	5	2	7	3
OTU1219	1	0	1	0	1	2	0	0
OTU1220	0	0	1	3	1	2	0	3
OTU1221	0	1	2	1	1	0	0	0
OTU1222	0	0	0	0	0	0	0	0
OTU1223	0	0	0	0	0	0	0	0
OTU1224	0	0	0	0	0	0	0	0
OTU1225	2	2	2	1	2	1	3	2
OTU1226	2	1	0	1	1	2	1	2
OTU1227	0	2	1	13	0	0	1	4
OTU1228	0	3	0	2	1	0	2	1
OTU1229	3	2	1	3	2	2	2	0
OTU1230	0	0	0	0	0	0	0	0
OTU1231	0	0	0	0	0	0	0	0
OTU1232	2	1	1	0	0	1	0	1
OTU1233	6	3	8	3	9	6	2	1
OTU1234	20	9	20	19	16	16	10	9
OTU1235	0	2	1	0	1	1	2	1
OTU1236	1	1	3	1	4	1	4	1
OTU1237	1	0	0	0	1	2	2	1
OTU1238	2	4	4	3	2	4	2	5
OTU1239	3	3	2	2	5	1	3	5
OTU1240	0	0	0	0	1	0	0	0
OTU1241	20	21	25	56	37	30	13	19
OTU1242	1	1	1	0	0	3	3	2
OTU1243	19	17	25	15	18	10	9	13
OTU1244	1	0	0	2	3	6	2	5
OTU1245	2	3	1	1	1	1	4	0
OTU1246	0	0	0	0	0	0	1	0
OTU1247	6	6	5	8	8	10	5	10
OTU1248	14	9	14	8	20	19	15	6
OTU1249	0	2	2	1	2	1	0	0
OTU1250	22	36	24	12	29	18	32	19
OTU1251	5	0	0	6	0	0	0	0
OTU1252	3	4	1	0	2	1	1	1
OTU1253	2	0	0	1	1	0	1	0
OTU1254	0	0	0	0	0	1	0	0
OTU1255	12	7	3	2	13	4	8	9
OTU1256	4	2	3	3	2	3	2	5
OTU1257	3	4	4	4	4	6	1	3
OTU1258	4	1	5	7	1	1	0	0
OTU1259	1	0	3	0	0	1	1	1
OTU1260	17	8	9	17	8	9	21	27
OTU1261	2	2	4	5	2	4	1	2
OTU1262	1	0	0	0	3	0	1	0
OTU1263	24	23	26	20	30	29	26	29
OTU1264	1	23	32	9	89	21	3	12
OTU1265	0	0	1	6	0	0	1	1
OTU1266	1	1	0	1	2	0	3	6
OTU1267	0	0	0	0	0	0	0	0
OTU1268	0	1	3	3	1	2	0	1
OTU1269	0	0	1	1	0	0	0	0
OTU1270	0	2	1	3	1	0	4	1
OTU1271	2	4	2	2	4	5	6	8
OTU1272	1	1	2	3	1	2	3	1
OTU1273	7	5	6	1	3	2	4	3
OTU1274	14	14	5	14	10	8	12	9
OTU1275	2	0	3	4	2	1	0	1
OTU1276	2	6	4	5	6	1	4	7
OTU1277	0	0	0	1	1	2	3	1
OTU1278	12	40	6	17	18	42	20	18
OTU1279	43	24	12	32	29	22	27	32
OTU1280	0	0	3	4	6	1	2	0
OTU1281	39	25	36	33	8	26	6	19
OTU1282	46	74	47	42	50	34	43	44
OTU1283	0	0	0	0	0	0	0	0
OTU1284	0	2	1	0	2	1	1	0
OTU1285	0	0	0	3	0	0	0	4
OTU1286	4	2	4	1	8	4	5	4
OTU1287	3	4	5	26	8	6	2	5
OTU1288	518	387	556	441	528	514	489	410
OTU1289	2	1	1	2	3	1	2	0
OTU1290	5	5	3	1	2	3	4	3
OTU1291	9	15	10	9	7	8	13	7
OTU1292	0	2	2	1	3	0	1	2
OTU1293	2	3	2	8	0	2	1	5
OTU1294	0	0	0	0	0	0	0	0
OTU1295	4	4	2	7	10	23	6	3
OTU1296	1	2	2	1	2	3	0	0
OTU1297	9	7	1	4	9	3	1	6
OTU1298	0	1	0	0	0	0	2	0
OTU1299	7	5	7	8	7	9	9	7
OTU1300	4	2	1	4	1	1	5	5
OTU1301	0	3	0	0	0	1	1	0
OTU1302	1	1	1	0	0	0	0	1
OTU1303	0	2	1	3	3	0	0	0
OTU1304	73	34	43	63	62	44	59	41
OTU1305	3	9	12	7	3	8	3	3
OTU1306	0	0	0	0	0	1	0	0
OTU1307	12	13	6	2	13	9	6	6
OTU1308	2	1	2	0	0	1	2	0
OTU1309	14	12	12	9	13	6	6	11
OTU1310	3	4	2	8	0	3	3	9
OTU1311	0	2	1	0	1	0	1	0
