OTUID	M	B	X	H	T	Y	J	D
OTU152	0	0	0	0	0	0	2	0
OTU153	0	0	4	4	0	5	1	2
OTU154	4	1	2	0	1	6	2	4
OTU155	2	1	2	0	1	1	1	2
OTU156	7	8	6	4	7	7	5	2
OTU157	6	3	2	5	1	3	3	3
OTU158	10	6	5	4	3	8	0	4
OTU159	7	6	9	3	4	1	1	4
OTU160	0	0	0	0	0	1	1	0
OTU161	1	6	4	3	1	3	4	3
OTU162	1	1	0	0	2	0	0	0
OTU163	0	0	1	1	0	1	1	1
OTU164	1	2	0	1	0	0	5	0
OTU165	9	6	2	3	1	6	5	3
OTU166	9	7	11	5	11	4	1	11
OTU167	3	4	5	3	4	1	1	4
OTU168	5	1	5	7	6	2	1	6
OTU169	2	0	0	2	2	2	0	2
OTU170	18	22	19	63	20	51	27	25
OTU171	4	2	0	1	1	3	1	1
OTU172	2	0	3	0	0	0	0	0
OTU173	2	2	5	3	1	2	1	1
OTU174	3	0	1	0	2	0	0	0
OTU175	0	2	1	2	0	3	1	2
OTU176	2	3	3	0	1	0	2	0
OTU177	0	1	0	0	2	0	1	3
OTU178	0	0	0	0	0	3	0	1
OTU179	1	1	2	1	1	2	2	3
OTU180	0	0	0	0	0	0	0	0
OTU181	2	7	4	1	2	6	5	3
OTU182	2	2	0	1	2	0	2	0
OTU183	16	22	4	13	12	17	15	10
OTU184	1	0	0	0	0	0	0	2
OTU185	0	2	4	3	2	2	1	1
OTU186	2	5	2	3	1	1	3	0
OTU187	1	2	3	6	0	2	4	3
OTU188	1	4	4	0	6	2	1	1
OTU189	0	3	1	0	1	1	2	1
OTU190	3	6	5	3	4	6	3	2
OTU191	7	4	1	0	0	2	0	4
OTU192	13	4	4	11	10	7	6	6
OTU193	1	0	2	3	2	3	0	1
OTU194	3	6	2	8	9	3	10	7
OTU195	1	0	0	0	0	0	1	0
OTU196	1	2	2	1	4	3	1	3
OTU197	0	2	0	0	0	0	0	0
OTU198	0	0	0	1	1	0	0	1
OTU199	0	0	0	5	0	1	0	0
OTU200	2	3	0	2	1	0	0	0
OTU201	2	4	6	3	5	5	1	4
OTU202	3	2	3	1	3	3	1	1
OTU203	0	6	1	2	3	0	0	0
OTU204	0	1	0	0	1	1	0	2
OTU205	22	12	13	13	13	17	11	17
OTU206	8	4	2	6	5	4	7	8
OTU207	0	1	0	0	0	1	0	0
OTU208	2	7	3	2	3	8	19	11
OTU209	4	4	4	15	7	10	3	9
OTU210	0	0	0	1	1	0	0	0
OTU211	1	1	2	3	3	2	0	0
OTU212	9	6	6	6	12	9	12	9
OTU213	1	9	8	3	9	2	3	2
OTU214	1	4	1	2	1	7	1	1
OTU215	0	0	0	0	0	0	0	0
OTU216	0	0	0	0	0	0	0	0
OTU217	0	2	0	1	0	0	1	0
OTU218	10	3	2	2	2	5	9	10
OTU219	5	1	3	3	5	2	5	2
OTU220	15	25	13	66	17	27	40	24
OTU221	1	3	3	7	5	5	2	2
OTU222	2	0	1	1	1	2	3	1
OTU223	6	8	10	9	10	7	8	0
OTU224	10	9	11	19	16	11	9	10
OTU225	4	1	1	1	4	3	2	1
OTU226	6	9	6	2	0	2	5	1
OTU227	1	2	1	1	0	1	0	0
OTU228	0	0	1	1	0	0	0	0
OTU229	3	3	1	7	5	4	1	8
OTU230	2	2	4	0	1	1	2	1
OTU231	0	1	0	0	2	0	0	0
OTU232	14	8	14	9	3	7	4	13
OTU233	5	4	2	5	3	2	1	7
OTU234	5	1	2	3	4	0	3	3
OTU235	0	1	1	0	3	3	0	0
OTU236	9	7	6	12	9	3	6	9
OTU237	2	2	3	3	0	4	1	3
OTU238	2	0	0	1	0	2	1	2
OTU239	9	8	29	24	11	18	5	5
OTU240	0	0	0	1	1	1	0	2
OTU241	102	151	150	142	122	117	79	104
OTU242	1	4	9	8	4	5	1	7
OTU243	1	2	0	0	1	2	0	0
OTU244	0	0	4	1	0	1	0	1
OTU245	4	3	5	4	7	9	4	2
OTU246	2	1	1	1	0	0	1	1
OTU247	2	2	0	1	1	0	0	0
OTU248	9	7	5	8	6	10	8	6
OTU249	0	0	1	0	0	0	1	0
OTU250	7	1	6	5	4	3	4	2
OTU251	0	1	0	1	0	0	1	0
OTU252	2	8	2	30	13	22	7	17
OTU253	5	4	1	3	1	1	1	2
OTU254	0	0	0	1	0	0	0	0
OTU255	0	1	1	0	0	2	0	1
OTU256	0	2	1	2	0	3	0	0
OTU257	2	12	12	65	23	26	8	28
OTU258	0	0	0	0	0	0	0	0
OTU259	6	9	5	20	12	9	15	12
OTU260	0	0	0	0	0	0	0	0
OTU261	4	2	2	0	3	2	4	1
OTU262	2	4	6	5	8	2	5	7
OTU263	0	3	7	9	0	7	7	4
OTU264	1	9	5	9	7	3	5	4
OTU265	0	3	1	2	2	2	3	2
OTU266	13	9	15	15	13	18	10	5
OTU267	86	79	51	65	83	86	75	79
OTU268	1	1	0	0	0	0	1	0
OTU269	22	30	16	27	16	26	10	8
OTU270	1	0	0	4	1	0	0	2
OTU271	3	2	2	1	0	3	1	0
OTU272	0	0	0	0	0	1	0	3
OTU273	0	0	1	0	1	1	0	0
OTU274	1	1	1	0	2	0	0	0
OTU275	1	1	4	2	0	1	0	0
OTU276	0	0	0	0	0	2	0	0
OTU277	19	25	28	46	27	32	21	41
OTU278	0	3	2	0	1	4	0	0
OTU279	43	29	51	33	34	31	26	45
OTU280	0	1	1	0	0	1	2	0
OTU281	7	4	6	16	5	19	3	10
OTU282	0	0	0	0	0	1	0	0
OTU283	0	0	1	0	0	0	0	0
OTU284	0	1	2	2	1	2	0	0
OTU285	0	0	0	0	1	0	0	0
OTU286	2	0	0	0	2	1	1	0
OTU287	0	1	0	0	0	0	1	2
OTU288	2	5	2	3	9	7	5	6
OTU289	2	0	2	2	1	2	1	2
OTU290	0	0	0	0	0	0	0	0
OTU291	0	0	0	0	1	1	0	0
OTU292	0	0	0	0	0	0	0	0
OTU293	0	1	0	0	0	3	0	1
OTU294	2	5	5	22	5	8	6	17
OTU295	25	27	21	28	20	22	15	19
OTU296	0	0	0	2	1	1	0	0
OTU297	2	4	3	3	2	0	4	0
OTU298	101	132	89	134	111	101	126	132
OTU299	0	0	2	0	0	0	0	0
OTU300	33	31	22	38	17	20	35	34
OTU301	51	70	43	144	66	117	94	63
OTU302	5	9	7	7	7	6	7	6
OTU303	0	0	0	0	1	0	1	1
OTU304	0	0	0	0	0	0	0	0
OTU305	0	0	1	0	0	0	0	0
OTU306	1	0	1	0	0	1	1	1
OTU307	0	0	1	2	1	1	1	1
OTU308	0	1	1	0	1	1	0	2
OTU309	3	1	1	1	7	1	5	5
OTU310	1	0	0	2	0	0	0	0
OTU311	0	1	1	1	0	0	0	0
OTU312	0	0	0	0	0	0	0	0
OTU313	6	1	0	2	2	2	1	2
OTU314	1	1	2	0	0	0	1	0
OTU315	0	0	0	1	1	0	0	0
OTU316	1	0	0	2	1	2	1	1
OTU317	2	0	1	0	1	2	0	2
OTU318	0	0	0	0	0	0	0	1
OTU319	0	1	0	0	2	0	0	0
OTU320	0	0	0	2	0	1	0	0
OTU321	0	1	0	0	2	3	0	0
OTU322	12	11	11	9	10	14	7	11
OTU323	2	8	0	11	5	5	1	9
OTU324	0	0	0	0	0	0	0	0
OTU325	1	0	3	3	2	1	1	1
OTU326	8	1	4	7	2	2	6	10
OTU327	1	0	0	0	0	0	0	1
OTU328	0	1	1	0	1	1	0	0
OTU329	0	0	0	0	0	2	1	0
OTU330	0	0	0	0	0	0	0	0
OTU331	0	0	1	2	0	0	0	0
OTU332	1	0	0	1	1	3	1	1
OTU333	1	0	0	0	1	0	1	0
OTU334	2	2	0	0	2	1	0	0
OTU335	2	0	3	3	0	1	0	5
OTU336	0	0	0	0	0	0	0	0
OTU337	1	0	1	0	1	1	1	1
OTU338	0	0	1	0	0	1	0	0
OTU339	0	0	1	0	0	0	0	0
OTU340	0	1	0	0	0	0	1	0
OTU341	34	12	35	33	37	27	32	40
OTU342	2	6	2	14	12	3	4	3
OTU343	0	0	0	0	0	0	0	0
OTU344	1	3	4	12	3	9	3	4
OTU345	0	0	0	0	0	0	0	0
OTU346	0	0	0	0	0	0	0	0
OTU347	0	0	0	0	0	0	1	0
OTU348	2	1	1	2	3	0	1	2
OTU349	2	0	2	1	2	4	2	0
OTU350	23	13	13	14	14	20	16	23
OTU351	0	0	2	6	1	1	1	1
OTU352	4	5	4	1	2	2	5	1
OTU353	0	0	0	0	0	0	0	0
OTU354	0	0	0	0	0	2	0	0
OTU355	0	0	0	3	0	0	0	1
OTU356	0	0	0	0	0	0	0	0
OTU357	19	9	6	12	7	14	14	4
OTU358	0	8	5	10	1	1	3	3
OTU359	1	1	1	0	1	4	0	0
OTU360	0	0	1	2	1	0	1	0
OTU361	19	18	23	27	33	26	18	15
OTU362	270	329	232	270	310	281	367	305
OTU363	1	2	1	1	3	1	1	0
OTU364	1	1	2	1	3	1	1	0
OTU365	46	79	49	76	76	95	66	112
OTU366	0	0	0	0	1	0	0	0
OTU367	14	12	15	11	22	15	10	10
OTU368	0	0	0	2	1	1	0	1
OTU369	0	5	3	4	2	3	2	3
OTU370	1	0	0	0	0	0	0	1
OTU371	2	1	2	2	1	0	0	2
OTU372	3	6	5	3	3	8	6	3
OTU373	61	84	53	130	96	84	97	148
OTU374	1	5	0	3	0	3	2	3
OTU375	1	2	3	0	3	3	0	2
OTU376	1	4	1	1	2	1	1	1
OTU377	0	0	0	0	0	0	0	0
OTU378	0	0	0	0	0	0	0	0
OTU379	1	0	2	0	0	2	0	0
OTU380	3	6	3	0	1	0	1	2
OTU381	10	5	11	5	4	9	4	3
OTU382	0	0	0	0	0	0	0	0
OTU383	2	3	7	17	10	12	11	8
OTU384	10	5	6	8	5	7	9	5
OTU385	1	3	0	2	1	1	0	0
OTU386	11	0	1	3	2	4	4	2
OTU387	2	0	2	2	2	2	0	0
OTU388	0	2	2	3	1	4	1	16
OTU389	0	0	0	0	1	0	0	2
OTU390	2	1	1	2	1	1	5	3
OTU391	2	0	0	0	0	0	1	0
OTU392	1	2	2	1	2	0	0	0
OTU393	61	83	34	86	85	101	78	84
OTU394	270	242	285	219	336	311	273	279
OTU395	0	0	0	0	0	0	0	0
OTU396	0	0	0	0	1	0	0	2
OTU397	33	21	22	27	41	29	33	31
OTU398	1	1	0	0	0	0	2	2
OTU399	1	1	1	0	0	1	1	3
OTU400	2	2	3	3	2	2	2	1
OTU401	3	3	4	5	2	3	6	2
OTU402	1	1	1	4	0	0	2	1
OTU403	67	64	43	69	52	61	56	63
OTU404	1	2	0	0	0	1	0	2
OTU405	12	5	6	12	6	11	9	8
OTU406	1	0	2	1	0	1	1	2
OTU407	4	0	4	0	3	2	1	1
OTU408	7	5	6	36	14	14	5	19
OTU409	0	1	1	6	3	2	2	4
OTU410	9	8	5	9	10	13	15	14
OTU411	9	10	12	18	10	14	15	10
OTU412	1	3	0	14	7	7	2	3
OTU413	13	28	16	32	17	29	27	12
OTU414	1	0	0	2	0	3	0	2
OTU415	0	0	0	0	0	0	0	0
OTU416	4	4	3	3	4	3	7	1
